Year,Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2005,Bolivia (Plurinational State of),1,1,7,,0,5,,0,32418,3,3,175,152,2,0,1,20,0,4,346,850,1,1,,,17,5,,18453,,,19,,1,56,0,6,1430,,28,1,,4230,754,9,,1946,,6,,133,2,44,1018,138,2,34,6,2,90,,2,50,800,23,108,,1,5,,3,,,1,39,880,2,,0,,2,1711,7,1,15,,1,,,132,5,,6,10,,198,30,3,106,12,45,7,63,1,168,1062,4,1461,14,11,11,,5,2,8,1,40,1,2,4,1,7,7,5,6,7,,1,3,,,1,,,8760,,0,1,1,,13,2,0,,,3,177,1,45,90,0,12,41,5,,42,1,25,,96,1,3462,9549,39,179,95,37,3,502,5,,31,142,1,,0,,0,,,,,9,4,9,0,1,4,39,14,8,1,2,8,,6059,4,6,1,1,202,561,1,2,9,,2,,1,9,1,23,1,,,0,106,1,714,2,3935,,445,5,0,604,7,,,0,3,7
2005,Brazil,28,,91,,5,6418,,,28410,26,,519,2789,,7,13,22,13,4,1556,2,13,,,29671,,34,,,,70,261,12,10,592,13,69,1425,,5,,,16352,14884,,,5520,,39,,313,164,283,1715,,,806,71,48,474,,10,207,1463,3268,356,27,,90,,5,,,,341,9004,667,,15,,31,17981,30,,2150,,13,,,225,28,468,1756,35,,131,2204,239,824,361,265,253,196,,1903,46336,98,60300,522,12,22,42,10,,2,70,14281,,,,,,,,,,,,,,,,,,1973,,,,,,,1385,,,,,3426,,,436,,,,,,359,,215,,541,,34146,12958,,5504,176510,,,4251,,,2631,3974,,,,,,,,,,,,,,,,,,,,,,,37357,,,,253,677,2976,2688,,,,,,,,,530,,,,,,,4506,,18779,,24495,,,2524,,,,,,
2005,Chile,22,37,66,,13,82,22,18,50740,15,6,1464,784,3,1,3,9,6,9,1241,3,1,7,6,17859,,16,7,8477,,,136,1,1,1,6,9,2715,1,3,25,,,3733,76,13,9159,1,18,3,682,13,561,4479,,18,216,9,18,342,,40,406,13414,117,342,3,3,66,3,7,3,3,13,198,4655,3,9,7,3,3358,8044,10,7,286,7,7,10,6,330,6,3,22,67,3,351,484,16,810,127,120,33,190,,793,5552,31,1197,124,10,28,,13,6,1,51,301,15,7,33,3,25,22,13,3,37,1,132,22,,7,1,3,1,2552,1,13,1,,1,127,69,1,9,10,13,962,6,208,351,15,30,7,598,10,502,7,237,3,756,6,1798,80085,295,652,370,271,39,1574,13,3,528,869,7,492,18,90,3,7,,3,16,25,9,,,1,88,,76,60,,16,366,,9969,10,1034,6,3,1844,1518,450,3,54,,28,,405,15,24,378,3,3,,3,235,7,2471,13,8953,1,3359,6,1,6070,15,1,6,,7,16
2005,Colombia,96,43,20,,38,45,35,33,2562,,255,182,187,,,,,,,357,,,,,660,,,,1873,,,69,,,,,,782,,,,,1679,1588,29,,,,,,832,,47,1451,75,,46,153,,75,,41,321,11617,124,310,,,17,,,,,,41,1712,,,,,,2040,,,103,,,,,357,,,16,95,,283,121,,114,69,91,24,104,,416,2343,56,575,160,,,,21,,,16,973,,,,,37,19,,,,,,,,,,,,2255,,,,,,60,,,,,,308,,43,467,,38,,,,66,,35,,1743,,185,3909,75,253,99,447,,210,,,225,538,,,,,,,,,,63,,,,,,19,,24,,,45,,5428,,,,,152,570,289,,,,,,,34,,44,,,,,188,34,1004,,15025,,354,,172,37137,,,,,,
2005,Ecuador,27,35,24,,,21,,,2643,19,,183,268,,24,,,,,419,,,,,748,,,,1299,,,95,,,,,22,1146,,,,,5551,1433,48,,93022,,,,459,,40,1466,,,155,238,,90,,,173,,41,256,,,,,,26,,,62,1108,,,,16,,2156,19,,35,,,,,211,,,,47,,230,106,,112,32,94,17,98,,255,1882,19,360,35,,,,,,,,217,,,,,,,,,17,,,,,,,,,1106,,,,,,24,,,,,,406,,55,192,,24,,1,,115,,26,,472,,119,6708,61,153,179,245,,397,,,148,732,,,,,,,,,,44,,,,,,,24,,,,60,,3658,,48,,,171,961,32,,,,,,,22,,,,,,,197,,1056,,13118,,469,,,4357,24,,,,,
2005,Falkland Islands (Malvinas),,,,,,,,,55,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,30,,,,,,,,,,,
2005,French Guiana,,,88,,,,,,,,,,,,,,,,,137,,,,,,,,,11989,,,,,,,,,,,,,,,1236,,,,,,,,,,,,,,,,,,571,,,,,,,,,,,,,,20818,,,,,,,,,,,,2140,,,,,2870,14450,,,,,,,,,,,,125,,,,,,,,,848,,,,,,,,,,,,,,,,4685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,,,,,,,,374,,,,,,1327,,,,,,,,,,,,,,,,,,,,,,,20487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Guyana,,,,,,,,13,,,,,,,11,,,223,,,,,,,,,,,1448,,,,,,,,,272,,,,,,780,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,260,,,,,,,,,,,,,,,,,,,,,3117,,,,,,,,,,591,,,,,,,,,390,,852,,,,,1424,,,,,,
2005,Paraguay,,,,,,,,,61353,,,,,,,,,,,,,,,,1086,,,,79266,,,,,,,,,2453,,,,,2269,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,,,,,,1785,,,,,,,,,,,,,,,,,,,,,,,,943,,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,,,,2740,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,,,,,,,,,,,,,,,,,,,,,,188,,1696,,3146,,,,,,,,,
2005,Peru,,,17,,,13,,,9729,,,506,169,,,,,,,527,,,,,4904,,,,4164,,,59,,,,,,1049,,,,,6155,3502,,,5087,,,,289,,79,776,,,78,75,,208,,,155,3419,18,93,,,15,,,,,,61,1979,30,,,,,2507,,,51,,,,,140,,,,43,,142,56,13,177,37,50,17,181,,434,2867,,2874,35,,,,,,,,60,,,,,,13,,,38,,,19,,,,,,1278,,,,,,34,,,,,,582,,81,138,,,,,,91,,62,,296,,468,,276,170,111,118,,571,,,157,539,,,,,,20,,,,29,,,,,,,,25,,,100,,4349,,,,,242,668,,,19,,,,,,,46,,,,,206,,1421,,8444,,525,,,2794,,,,,,
2005,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3921,,,,,,,,,,,,,,,3836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Uruguay,,,,,,,,,28893,,,,,,,,,,,,,,,,,,,,12923,,,,,,,,,328,,,,,1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,,,1447,,,,,,,,,,,,,,,,,,,,,,,,7655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,96,,1220,586,,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,16957,,,,,,,,,,,,,,,,,,,,,,,475,,652,,,,,610,,,,,,
2005,Venezuela (Bolivarian Republic of),,16,84,,,169,,,9078,30,436,133,802,,,,,43,,388,17,,,,1864,46,20,,5214,,,127,,,,,,1016,,,,,15347,11278,515,,672292,,,,1142,,368,10372,645,13,337,41,,129,,4,14286,31597,225,937,,25,46,,29,,,,64,3657,26,,,,11,4016,28,,747,,202,,,425,,,7511,1750,,299,923,,232,53,105,69,55,,538,49767,111,408,235,,,,63,,,125,6927,,,124,,132,,,,30,,,,,37,,,,3344,,,,244,,1035,48,,,,,628,,15,1953,,90,,,,80,,11,,925,,226,39846,144,819,53646,480,,249,,,786,605,,,,15,,108,,,,1346,12,746,,,15,230,20,92,,,67,,75453,,431,,54,127,647,14055,,62,,,,,2746,12,116,,,,,189,,1679,,10445,,4672,,,,10,,,,,13
2005,Australia,18620,2270,1330,120,30,450,,30,13090,1110,50,,21040,300,270,1080,16130,380,1600,5790,60,30,460,130,770,,38400,970,7530,0,2570,3440,20,430,30,27610,130,36250,40,10,40,,26870,227600,79850,2100,5810,,710,5460,380,200,69500,610,100,22450,13700,430,360,10480,120,20,110,1650,38740,10750,,2280,1660,270,6110,120,40,54770,9490,21120,10,390,30,80,400,123010,2820,490,129010,,130,20,80,350,220,20,560,90,,230,24340,670,148960,60250,26720,37100,55700,760,8950,220550,1000,33110,4160,670,10850,490,3120,240,10600,6310,84900,90,1360,1570,20,3300,170,220,760,101390,280,40,51380,40,30,20,20310,,1820,30,50,240,4020,,1560,770,13330,740,570,3830,91620,1260,423550,770,10,2580,580,51320,0,4380,840,16810,,170,,410,6680,134580,63280,18160,160,440,51150,810,140,15680,18110,180,21,19,13,,47,16620,,,2960,280,39290,2890,1570,43070,,6060,8760,1640,4500,114150,0,14320,70620,3260,18590,100,8550,13060,8260,70,31550,10710,30,420,8720,1560,540,37460,60,,140,1880,16800,2800,1116890,2300,70520,,10790,760,1180,1580,174440,,,520,4540,21680
2005,New Zealand,2051,,,,,,,,869,,,60001,1279,,,,1374,,,,,,,,,,,,1686,,,,,,,5600,,8601,,,,,1316,74705,7350,,372,,,14055,,,1979,,,,854,,,1425,,,,,1282,,,,,,889,,,36097,,2364,,,,,,10291,,,,,,,,,,,,,,,1199,,41448,4412,2671,5760,6587,,,1471,,9154,,,1443,786,,,,,,,,,,,,,,13911,,,,,,,,,,,,,,,,,806,,,553,21138,,,,,,4639,,,,,2114,,,1199,,,14617,1916,,,,27550,,,2180,4380,,,,,,,48436,,,599,,0,,,4644,,,,,1775,39855,,,6940,,,,1124,2880,,,5890,,,1517,19623,,,,,,1173,,1104,,232954,,16972,,,,,,4662,,,,1256,7794
2005,Fiji,,,,,,,,,,,,1706,,,,,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,836,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169,,,,,,,,,,,,,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,,1650,,,,,,,,,,,,,,,,,,,,,,267,,,,,,,,,,,,636,,,,,,,,,,,,,,,,,1204,,,,,,372,,,,308,,,,,,167,,,,,,,
2005,New Caledonia,,,719,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30810,,1974,,,,,,,,,,,,,,,,,,,,,,1150,,,,,,324,,,,,,,,,723,,,,,,,,,,,,,,,,,,,,,,,,,,672,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,767,,,,,,,,,,,,,,4427,,706,7373,,,,
2005,Papua New Guinea,,,,,,,,,,,,10675,,,,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,182,9806,,,50,,,,,301,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,2068,,,,,,,,,,,,,,,1697,,,,,76,,,,31,,,,,,,,,,,,,,,61,,,,257,,,,,93,,,,,,,,,,,,33,,,,,,,,,,1880,34,851,,,,116,,,,,,,
2005,Solomon Islands,,,,,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,61,,,,590,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,76,103,,,,,,,,,,,,800,,,130,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,77,,,,38,,,,,,,
2005,Vanuatu,,,,,,,,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,251,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,27,,,,,,,,,,100,,,,,,,,,,,,,
2005,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264,,,,,,,,,,,,,,,,,,,,,,241,,,,,,8753,,,,,,,,,,,,,,,,,,,2187,,,,1386,,,,,30827,,,2054,,2964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18719,,,,,,351,,,,,
2005,Kiribati,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,11,,39,,,,,,,,,,,
2005,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,,,,,,,,,,,
2005,Micronesia (Fed. States of),,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,296,,,,,133,,,,,50,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,183,,,,,,,,,,,
2005,Nauru,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,0,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,
2005,Northern Mariana Islands,,,,,,,,,,,,,,,,,698,,,,,,,,,,,,,,,,,,,,,,,,,,,9611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,,,,,,,,,,,,,,,,,,,811,,,,,,,,,,,,,,,,,,,,,,95,,,,,,1841,,,,,,,,,,221,,,,,,,,,,,,,1032,,,,,15233,,,1419,,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953,,,,,,,,,,,
2005,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,,,,,,,,,,,,,,,,,,,280,,,,,,,,,3179,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,,,,,,,,
2005,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,,,,,,,,,,,,,889,,,,,239,,,,,,,,,,,16738,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1217,,,,,,,,,,,,3066,,,,,,208,,,,,
2005,Cook Islands,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,2329,,,,13,,,,,,,,14,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,24,,,,,,,,,,,
2005,French Polynesia,,,743,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,22395,,,,,,392,,,,,,,,,,,,,,,,,42,18,,,,,,162,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,131,,,,,,,,,,,,,,,,,92,,457,,,,230,,,36,,,,
2005,Niue,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,74,,,,,,19,,,,,,,,,,,
2005,Samoa,,,,1889,,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,70,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,162,,12,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,1775,,,,7,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,127,91,,,,,,87,,,,33,,436,,,,20,,,,,,,
2005,Tokelau,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,
2005,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
2005,Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,
2005,Belarus,281,,53,,,,,,103,5862,,27,59,13806,,,,,,37,,,,,,,,,93,,,61,,,,,,154,,,,,,,,,,,,,,,,45,,,95,60,,198,,,,,,,,,3232,,24,,,,2104,,,,,,8705,65,,,109,,,,,,,,,,,,341,,48,,49,,23,,386,23,,,29,71580,,,,5355,,10450,64,,,,,17326,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,61,,47,,,,,,,476,,,,28,7786,,22,698192,,,,,,,,,,,,36,,,,,26,,,,,,36,,,,,338,28,83,5811,,,,,,,,24,5592,,,,230971,22,460,,86,,27,15108,,,366,,,32,,
2005,Bulgaria,260,824,279,,1,5,30,4,85,1308,4,103,149,1526,3,6,450,3,465,293,2,23,1,21,16,,80,21,66,66,1,,9,12,6,11,6,175,2,,4,,15,689,,,16,,9,,4,4,62,194,,196,689,18,11,46,3,1,16,9,100,5,,3,43,3,43,,,2,41,411,,,9,8,223,1529,8,6,3763,3,,,,5,8,4,3,4,,2,254,109,143,17,208,509,8,,251,791,5,88,133,705,9,4,74,63,1,91,496,,4,147,3,78,6,2,,2,2,1,26,1,,3,1,,18,,3,47,21,,59,20,,3,2,4,214,,17,24,3,59,,1942,,69,2,34,,5,3,2,16,28,939,71,,6,43,1467,,4308,14768,2,,,,,,5,3,,24,7,1755,,1,6,,219,27,,3,96,,1109,7,1,29,1,89,119,989,86,10,,,1,2,,60,2963,187,3,11,4,4526,43,2165,11,867,,12,488,1,19,518,0,0,39,9,21
2005,Czechia,221,184,408,,4,129,,2,133,1305,,269,3043,406,,15,70,4,2344,419,1,28,2,2,49,,1713,40,188,,,4421,8,2,9,15,44,409,,1,6,,53,2714,6,,99,1,43,,17,42,1163,320,,56,,35,37,172,3,1,18,50,289,9,1,2,83,1,58,,,4,200,1978,,,1,8,607,8294,70,,718,,1,,,18,43,13,4,8,,6,1998,19,547,84,212,298,262,,252,1467,7,758,104,2909,52,1,59,415,16,153,221,3,7,102,1,285,13,20,5,179,2,19,11,0,,3,15,,147,,2,2887,46,,154,3,30,14,1,59,1330,,68,10,5,275,,1155,,84,,222,0,15,2,24,105,177,16032,78,,10,553,5361,,5109,18399,6,,2,2,,1,1,1,1,36,34,1639,1,6,20,,109909,182,0,20,187,,306,58,75,49,4,236,332,396,170,279,1,11,,2,3,330,539,91,,1,16,73905,25,2383,16,2286,,19,1202,2,56,31521,,4,122,31,25
2005,Hungary,657,159,578,,,67,,,275,178,,793,6822,127,6,12,57,4,196,1364,1,22,1,,49,,326,5,427,,,1766,,,,63,169,1756,,7,1,,133,9317,,,167,,68,,27,20,1970,515,,233,1344,,22,307,,,30,94,653,11,,9,107,,111,,,,589,3227,,,5,9,178,26297,105,,1115,,5,,,15,36,7,4,,,9,,109,933,182,1716,698,678,,1418,3222,25,1135,333,447,74,,147,111,38,119,290,5,28,269,6,122,116,27,,98,,18,31,,,4,43,,357,,5,1066,33,,158,18,7,7,,47,2276,,149,19,12,987,,121,,979,14,195,,22,1,17,184,210,3399,277,,28,1025,185,,180592,3791,15,,4,,,4,,,,273,21,20802,,25,70,,18638,348,,336,284,,1012,44,89,145,,1289,1868,1045,15,602,,7,,,12,159,1793,,,,27,24540,152,4522,49,6147,,57,98,,162,2898,,,230,15,33
